time,fce_hz,whistler_band_low_hz,whistler_band_high_hz,whistler_band_power,wave_total_power_10_4000hz,whistler_peak_freq_hz,burst_file,whistler_ratio,whistler_background_power,background_excess,fce_valid,whistler_power_z,whistler_ratio_z,background_excess_z,whistler_score,Vx,Bz,bbf_operational_flag,bbf_direction
2017-07-29 16:05:27.912879281,157.56082400541897,7.878041200270949,78.78041200270948,2349.711320087513,2456.5146068017266,60.00015360039322,mms1_scm_brst_l2_schb_20170729160133_v2.2.0.cdf,0.9565224296169494,125.5357685654116,18.71746472690111,True,9.059640528421667,2.3301236813035437,9.89776060711722,21.28752481684243,690.837948885831,4.296665340289474,False,earthward_candidate
2017-07-29 15:59:41.627707516,240.65443422647624,12.032721711323813,120.32721711323812,4255.112623858797,4559.461049038194,111.99845173340323,mms1_scm_brst_l2_schb_20170729155703_v2.2.0.cdf,0.9332490349394259,377.07565214132455,11.284506437090291,True,10.937745306230346,2.1747569364429813,8.065741697661332,21.17824394033466,745.351339003619,8.49725496917963,False,earthward_candidate
2017-07-29 15:58:29.877248327,256.3577529874227,12.817887649371137,128.17887649371136,2508.36359914094,2953.528299461174,123.99828584769644,mms1_scm_brst_l2_schb_20170729155703_v2.2.0.cdf,0.8492769815676229,133.12693699476287,18.841893727635433,True,9.266285652847992,1.614182736915733,9.92174848590795,20.802216875671675,518.2681598085346,8.269975584745406,False,earthward_candidate
2017-07-29 16:01:45.130500336,241.64331780727463,12.082165890363733,120.82165890363731,3186.097222843533,3281.9809684641214,52.00013312034079,mms1_scm_brst_l2_schb_20170729160133_v2.2.0.cdf,0.970784795359292,281.234734847065,11.328960573010754,True,10.02269744005584,2.4253352896701816,8.079975875572154,20.528008605298176,916.9711544152462,3.900188569165766,True,earthward_candidate
2017-07-29 15:59:34.721428020,260.30833154887466,13.015416577443734,130.15416577443733,2395.494223168058,2463.1451305552023,75.99894939052362,mms1_scm_brst_l2_schb_20170729155703_v2.2.0.cdf,0.9725347457005525,180.89441918753664,13.242499320471596,True,9.120671511665849,2.43701747406814,8.645008321504093,20.202697307238083,702.436338482481,9.070694236457348,False,earthward_candidate
2017-07-29 15:59:42.877724053,232.969325521544,11.648466276077201,116.484662760772,2463.494278252625,2557.6556541946225,71.99900468575922,mms1_scm_brst_l2_schb_20170729155703_v2.2.0.cdf,0.9631844983559181,198.37386277976998,12.418441843760126,True,9.209199447809176,2.3745978093090514,8.412402226857216,19.996199483975445,810.605126583215,9.509854143857956,False,earthward_candidate
2017-07-29 16:05:28.287879281,159.05562010273272,7.952781005136636,79.52781005136636,1823.896091511029,1926.4698307856515,52.00013312034079,mms1_scm_brst_l2_schb_20170729160133_v2.2.0.cdf,0.9467555953197612,113.64331269410472,16.04930416293333,True,8.258471993838688,2.2649229972876395,9.34097339934059,19.864368390466918,690.837948885831,4.296665340289474,False,earthward_candidate
2017-07-29 16:08:19.821941597,144.60041023467892,7.230020511733946,72.30020511733946,1859.7346739749858,2016.1996393704208,60.00015360039322,mms1_scm_brst_l2_schb_20170729160543_v2.2.0.cdf,0.9223960949401356,117.04799584736725,15.888650296927032,True,8.320014762056173,2.10230571120401,9.304550496470096,19.726870969730278,349.20979447798294,4.522144434228539,False,earthward_candidate
2017-07-29 15:59:34.471424713,260.0815902370966,13.00407951185483,130.0407951185483,2072.7030571271366,2142.725787681314,75.99894939052362,mms1_scm_brst_l2_schb_20170729155703_v2.2.0.cdf,0.9673207225316728,164.15623453411607,12.62640473576636,True,8.662914380133603,2.4022100977227048,8.472528496965875,19.537652974822183,702.436338482481,9.070694236457348,False,earthward_candidate
2017-07-29 16:05:28.037879281,157.0808283042545,7.854041415212726,78.54041415212725,1656.262835911573,1765.5230182330656,64.00016384041943,mms1_scm_brst_l2_schb_20170729160133_v2.2.0.cdf,0.938114552349003,113.64331269410472,14.574221717469277,True,7.95355199252729,2.2072377847447737,8.991926221943508,19.152715999215573,690.837948885831,4.296665340289474,False,earthward_candidate
