whistler_event_id,start_time,end_time,duration_s,peak_time,peak_score,peak_freq_hz,mean_fce_hz,mean_ratio,mean_background_excess,peak_freq_cv,band_occupancy,num_segments
17,2017-07-29 15:59:41.252702555,2017-07-29 15:59:42.877724053,1.750022653,2017-07-29 15:59:42.502719092,29.93441670322207,67.99905998099482,236.6987216923963,0.9451301735401074,14.93043714820305,0.16620434492540717,0.7142857142857143,10
18,2017-07-29 16:01:44.505500336,2017-07-29 16:01:45.380500336,1.000001653,2017-07-29 16:01:45.255500336,28.6212811801663,52.00013312034079,245.20569652760122,0.8545494899325657,11.70299228060728,0.09677419354838715,0.625,5
19,2017-07-29 16:02:21.693183160,2017-07-29 16:02:22.068183160,0.500001653,2017-07-29 16:02:21.943183160,15.926648232031008,48.00012288031458,143.14025794070704,0.4519468961299576,40.33959412304871,0.19633836312465056,1.0,4
20,2017-07-29 16:04:45.287603457,2017-07-29 16:04:45.412603457,0.250001653,2017-07-29 16:04:45.287603457,6.350460577548684,48.00012288031458,174.04077995944533,0.618749484741596,6.276312383250655,0.043478260869565286,1.0,2
21,2017-07-29 16:05:06.256534385,2017-07-29 16:05:06.506534385,0.375001653,2017-07-29 16:05:06.256534385,8.498277807418205,32.000081920209716,147.99864697422507,0.5698287196282298,7.962363281569329,0.13363062095621217,1.0,3
22,2017-07-29 16:05:27.912879281,2017-07-29 16:05:28.537879281,0.750001653,2017-07-29 16:05:27.912879281,21.28752481684243,60.00015360039322,162.36613923999116,0.9113367825517298,12.241109739550918,0.08333333333333331,0.8333333333333334,5
23,2017-07-29 16:06:01.133701229,2017-07-29 16:06:01.383701229,0.375001653,2017-07-29 16:06:01.258701229,16.955217950088866,40.00010240026214,216.11865958827488,0.511033170707151,112.26312619032326,0.0816496580927726,1.0,3
24,2017-07-29 16:06:36.290196090,2017-07-29 16:06:36.665196090,0.500001653,2017-07-29 16:06:36.290196090,16.181512814889285,40.00010240026214,139.7243806853958,0.49805685536700706,52.80968622325591,0.11768778828946258,1.0,4
25,2017-07-29 16:08:19.696941597,2017-07-29 16:08:20.446941597,0.875001653,2017-07-29 16:08:19.821941597,19.726870969730278,60.00015360039322,143.2870850136076,0.6170036007552823,9.68003284918831,0.05331846343697527,0.8571428571428571,6
26,2017-07-29 16:08:27.446984562,2017-07-29 16:08:27.571984562,0.250001653,2017-07-29 16:08:27.446984562,13.474215726062715,84.0002150405505,179.25747119356197,0.7066896120490238,5.581605545714833,0.0,1.0,2
