baseline_event_id,start_time,end_time,duration_s,peak_time,peak_freq_hz,mean_freq_fraction_of_fce,mean_ellipticity,mean_planarity,peak_psd_nt2_per_hz,num_segments
23,2017-07-29 15:56:10.905453246,2017-07-29 15:56:11.905453246,1.125,2017-07-29 15:56:11.905453246,44.00011264028836,0.4240787446666676,0.7820096611821605,0.9812129253964503,1.374452524453839e-06,3
24,2017-07-29 15:56:36.686803105,2017-07-29 15:56:38.186803105,1.625,2017-07-29 15:56:38.186803105,32.000081920209716,0.2641752974514931,0.8107554854109458,0.9711852755485328,1.4893533635327564e-06,5
25,2017-07-29 15:57:31.970659581,2017-07-29 15:57:32.095661235,0.25000100000000003,2017-07-29 15:57:32.095661235,31.99955763811521,0.1573519029803656,0.8031999680029407,0.9926979459059724,1.6203355059461687e-06,2
26,2017-07-29 15:58:29.502243366,2017-07-29 15:58:30.127251634,0.750008,2017-07-29 15:58:29.877248327,123.99828584769644,0.40304250794401675,0.830944758819539,0.9799482129340926,4.8215101405820656e-05,5
27,2017-07-29 15:58:50.783651791,2017-07-29 15:58:51.033655098,0.375003,2017-07-29 15:58:51.033655098,35.99950234287961,0.12743883615541432,0.8272126013897244,0.9799649663876012,3.7017475021514726e-06,2
28,2017-07-29 15:58:56.814920169,2017-07-29 15:58:58.064936705,1.375016,2017-07-29 15:58:57.314926783,135.99811996198963,0.4437270366945157,0.8689739661443696,0.9978019542506814,6.851524462022026e-05,7
29,2017-07-29 15:59:03.221194508,2017-07-29 15:59:04.471211044,1.375016,2017-07-29 15:59:04.471211044,103.99856232387444,0.3706753187426687,0.8452167743345436,0.9984219883059591,0.000336519236290533,5
30,2017-07-29 15:59:34.221421406,2017-07-29 15:59:34.971431327,0.875009,2017-07-29 15:59:34.346423059,71.99900468575922,0.2373624986810051,0.9336421330980317,0.9888275918423476,1.4471503325243162e-05,3
31,2017-07-29 15:59:41.252702555,2017-07-29 15:59:42.877724053,1.750021,2017-07-29 15:59:42.502719092,67.99905998099482,0.407575984609589,0.898002188005524,0.999147863349309,0.0002026665908391877,12
32,2017-07-29 16:01:21.628236074,2017-07-29 16:01:21.753237727,0.25000100000000003,2017-07-29 16:01:21.753237727,43.999391752408414,0.18955675875662875,0.8177706170717436,0.9875214743939034,2.0004693659698386e-06,2
33,2017-07-29 16:01:45.130500336,2017-07-29 16:01:45.255500336,0.25,2017-07-29 16:01:45.255500336,52.00013312034079,0.23127777985088727,0.8945307124714859,0.9991202589768791,0.00017402562156099418,2
34,2017-07-29 16:01:51.255544300,2017-07-29 16:01:52.505544300,1.375,2017-07-29 16:01:51.255544300,76.00019456049807,0.3091299548436216,0.8235861970865163,0.9945073446889221,1.8455668387682565e-05,5
35,2017-07-29 16:05:06.631534385,2017-07-29 16:05:07.381534385,0.875,2017-07-29 16:05:06.631534385,44.00011264028836,0.31421343931940066,0.7639346035177982,0.995492181948118,1.8568507498836698e-06,2
36,2017-07-29 16:05:28.162879281,2017-07-29 16:05:28.662879281,0.625,2017-07-29 16:05:28.162879281,60.00015360039322,0.32670954764886356,0.8379123984685914,0.9962094745072675,1.1635163898676048e-05,2
37,2017-07-29 16:06:38.415161054,2017-07-29 16:06:38.665161054,0.375,2017-07-29 16:06:38.415161054,40.00010240026214,0.33675877166907825,0.7359038957054498,0.9860325014721083,2.0872873079474908e-06,2
38,2017-07-29 16:08:19.321941597,2017-07-29 16:08:20.571941597,1.375,2017-07-29 16:08:20.196941597,64.00016384041943,0.4398715849489549,0.8382188465528926,0.9977395618403139,5.001109103887848e-05,8
39,2017-07-29 16:08:26.821984562,2017-07-29 16:08:28.071984562,1.375,2017-07-29 16:08:27.571984562,84.0002150405505,0.42080783632509583,0.7826319045441198,0.997846513442895,1.4105774302710483e-05,6
40,2017-07-29 16:08:29.915700527,2017-07-29 16:08:30.290700527,0.5,2017-07-29 16:08:30.290700527,52.00013312034079,0.40542524235371385,0.7315520760246952,0.9964758894517599,4.790887434125287e-06,3
