time,burst_file,fce_hz,peak_freq_hz,freq_fraction_of_fce,ellipticity,planarity,psd_nt2_per_hz,baseline_pass
2017-07-29 16:05:51.446204300,mms1_scm_brst_l2_schb_20170729160543_v2.2.0.cdf,258.82377033032395,40.00010240026214,0.15454570632833295,0.15700518690869358,0.9756203882135517,1.259701412256478e-06,False
2017-07-29 16:05:51.571204300,mms1_scm_brst_l2_schb_20170729160543_v2.2.0.cdf,258.00336789731716,36.00009216023593,0.13953341948064654,-0.5404862452252615,0.9954224356971191,1.1136489758981896e-06,False
2017-07-29 16:05:51.696204300,mms1_scm_brst_l2_schb_20170729160543_v2.2.0.cdf,254.6980744188192,52.00013312034079,0.20416382510545825,-0.7506252693146598,0.9977665032728902,8.506813841195104e-07,False
2017-07-29 16:05:51.821204300,mms1_scm_brst_l2_schb_20170729160543_v2.2.0.cdf,248.74933375321018,64.00016384041943,0.25728777992995727,-0.4330784151848045,0.9508094532254551,5.724618268375319e-07,False
2017-07-29 16:05:51.946204300,mms1_scm_brst_l2_schb_20170729160543_v2.2.0.cdf,247.165056280262,48.00012288031458,0.19420270649378096,0.3549029228614017,0.9946087045818768,1.3430023718531493e-06,False
2017-07-29 16:05:52.071204300,mms1_scm_brst_l2_schb_20170729160543_v2.2.0.cdf,246.61301779289204,40.00010240026214,0.16219785459117414,0.5308093483108925,0.9811401147966926,1.7158195085981145e-06,False
2017-07-29 16:05:52.196204300,mms1_scm_brst_l2_schb_20170729160543_v2.2.0.cdf,245.847849317831,32.000081920209716,0.13016213893675416,-0.5256097853957176,0.9967568745898323,6.14958908660393e-07,False
2017-07-29 16:05:52.321204300,mms1_scm_brst_l2_schb_20170729160543_v2.2.0.cdf,242.5781452915945,36.00009216023593,0.14840616460712694,0.4207375107287228,0.9958794978254736,1.5711904165598382e-06,False
2017-07-29 16:05:52.446204300,mms1_scm_brst_l2_schb_20170729160543_v2.2.0.cdf,237.13193182567443,56.000143360367005,0.23615606269987732,-0.21367646645040347,0.9968093190153626,9.154735021432616e-07,False
2017-07-29 16:05:56.821222265,mms1_scm_brst_l2_schb_20170729160543_v2.2.0.cdf,212.06076162146886,36.00009216023593,0.16976309942947648,0.5625887746016812,0.9782627213895935,9.652892358511175e-07,False
2017-07-29 16:05:56.946222265,mms1_scm_brst_l2_schb_20170729160543_v2.2.0.cdf,207.40900147652607,44.00011264028836,0.2121417697739997,-0.5735054624168352,0.9914412347036676,1.5352212709224773e-06,False
2017-07-29 16:05:57.071222265,mms1_scm_brst_l2_schb_20170729160543_v2.2.0.cdf,206.00835398101455,36.00009216023593,0.1747506422169348,-0.6220078547378538,0.9820330510853733,1.0971044901201735e-06,False
2017-07-29 16:05:57.196222265,mms1_scm_brst_l2_schb_20170729160543_v2.2.0.cdf,207.95654240750775,36.00009216023593,0.1731135348927413,0.34328492760818935,0.9972025087412452,9.74037271416857e-07,False
2017-07-29 16:05:57.321222265,mms1_scm_brst_l2_schb_20170729160543_v2.2.0.cdf,211.84440397052202,36.00009216023593,0.169936479253166,-0.37419386282973965,0.9982248516092757,1.2909913211906783e-06,False
2017-07-29 16:05:57.446222265,mms1_scm_brst_l2_schb_20170729160543_v2.2.0.cdf,215.5774999860777,48.00012288031458,0.22265831491419324,0.36891060727297015,0.9941224538701667,6.900393954308092e-07,False
2017-07-29 16:05:57.571222265,mms1_scm_brst_l2_schb_20170729160543_v2.2.0.cdf,215.46948994752097,36.00009216023593,0.16707744641250133,-0.9134299058865335,0.984273808916143,7.482284077492044e-07,False
2017-07-29 16:05:57.696222265,mms1_scm_brst_l2_schb_20170729160543_v2.2.0.cdf,215.62630798254344,36.00009216023593,0.1669559363932086,0.20545280459326012,0.9989882581094551,1.8037913830612906e-06,False
2017-07-29 16:05:57.821222265,mms1_scm_brst_l2_schb_20170729160543_v2.2.0.cdf,218.63792570781501,36.00009216023593,0.16465620977554463,0.3877038274378504,0.9986394167307187,1.992477216545458e-06,False
2017-07-29 16:05:57.946222265,mms1_scm_brst_l2_schb_20170729160543_v2.2.0.cdf,218.943666811875,36.00009216023593,0.1644262777016913,0.6534686821453338,0.9754655521077416,8.547412817867631e-07,False
2017-07-29 16:05:58.071222265,mms1_scm_brst_l2_schb_20170729160543_v2.2.0.cdf,220.30531023320384,36.00009216023593,0.16341000642303216,-0.5035982489219112,0.9973327773833609,1.5145915125566955e-06,False
2017-07-29 16:05:58.196222265,mms1_scm_brst_l2_schb_20170729160543_v2.2.0.cdf,221.14583922416858,36.00009216023593,0.16278891923326566,0.1414811116987831,0.9959285982117744,1.4704940246894739e-06,False
2017-07-29 16:05:58.321222265,mms1_scm_brst_l2_schb_20170729160543_v2.2.0.cdf,220.79735618247312,36.00009216023593,0.1630458479334528,-0.5221705924756678,0.9873271855808909,1.5736946898937963e-06,False
2017-07-29 16:05:58.446222265,mms1_scm_brst_l2_schb_20170729160543_v2.2.0.cdf,222.44819341217428,44.00011264028836,0.1977993705651749,-0.4635837668546817,0.9932784573533427,1.3050864439278505e-06,False
2017-07-29 16:05:59.758701229,mms1_scm_brst_l2_schb_20170729160543_v2.2.0.cdf,249.47681577474873,32.000081920209716,0.12826876044907684,-0.36932799155055035,0.9888451850013653,1.0827149182437686e-06,False
