date,direction,start_time,end_time,duration_s,num_bins,peak_time,peak_vx,peak_abs_vx,mean_vx,mean_vy,mean_vz
2017-01-03,tailward_fastflow_candidate,2017-01-03 06:30:50,2017-01-03 06:33:20,155.0,31,2017-01-03 06:31:45,-367.3500671386719,367.3500671386719,-336.6212035148375,-44.70544636634089,20.91203095836024
2017-01-03,tailward_fastflow_candidate,2017-01-03 06:33:50,2017-01-03 06:35:50,125.0,25,2017-01-03 06:34:30,-350.120361328125,350.120361328125,-313.51905700683596,-68.16431434631347,2.2397536849975586
2017-01-03,tailward_fastflow_candidate,2017-01-03 06:37:00,2017-01-03 06:37:15,20.0,4,2017-01-03 06:37:00,-315.12066650390625,315.12066650390625,-307.0097427368164,-64.35368156433105,6.811165273189545
2017-01-03,tailward_fastflow_candidate,2017-01-03 06:37:25,2017-01-03 06:38:35,75.0,15,2017-01-03 06:37:40,-345.996826171875,345.996826171875,-327.1603505452474,-53.87690099080404,17.036568641662598
2017-01-03,tailward_fastflow_candidate,2017-01-03 06:38:50,2017-01-03 06:39:00,15.0,3,2017-01-03 06:38:55,-324.6644287109375,324.6644287109375,-320.8980407714844,-48.684983571370445,-5.149141947428386
2017-01-03,tailward_fastflow_candidate,2017-01-03 06:39:15,2017-01-03 06:43:25,255.0,51,2017-01-03 06:40:45,-385.40618896484375,385.40618896484375,-341.6684818641812,-34.77267305523741,13.856304580090093
2017-01-03,tailward_fastflow_candidate,2017-01-03 06:43:40,2017-01-03 06:44:25,50.0,10,2017-01-03 06:43:45,-323.8937683105469,323.8937683105469,-310.8792297363281,-66.15048656463622,-8.447732830047608
2017-01-03,tailward_fastflow_candidate,2017-01-03 06:44:40,2017-01-03 06:47:35,180.0,36,2017-01-03 06:46:05,-359.92010498046875,359.92010498046875,-330.5725504557292,-50.68257368935479,7.585710724194844
2017-01-03,tailward_fastflow_candidate,2017-01-03 06:47:45,2017-01-03 06:47:50,10.0,2,2017-01-03 06:47:50,-309.38543701171875,309.38543701171875,-307.1464538574219,-70.5132064819336,4.3879828453063965
2017-01-03,tailward_fastflow_candidate,2017-01-03 06:48:15,2017-01-03 06:54:00,350.0,70,2017-01-03 06:53:45,-392.72705078125,392.72705078125,-360.0316887991769,-25.274795598643166,32.32300919124058
2017-01-03,tailward_fastflow_candidate,2017-01-03 06:54:10,2017-01-03 06:54:50,45.0,9,2017-01-03 06:54:20,-343.05645751953125,343.05645751953125,-334.96880594889325,-42.273560418023,38.79656961229112
2017-01-03,tailward_fastflow_candidate,2017-01-03 06:55:00,2017-01-03 06:55:10,15.0,3,2017-01-03 06:55:05,-336.5804443359375,336.5804443359375,-322.684076944987,-55.01005872090658,40.33282279968262
2017-01-03,tailward_fastflow_candidate,2017-01-03 06:55:20,2017-01-03 07:22:30,1635.0,327,2017-01-03 07:22:05,-381.26287841796875,381.26287841796875,-359.56813497280854,-24.272586487848823,29.94271686098991
